condition_id,swap_variant,layer,logit_A,logit_B,delta_AB,rank_A,rank_B,j_score_A,j_score_B,j_delta_AB,j_rank_A,j_rank_B
sc5_orig,False,8,-225.125,-443.0,217.875,262131,262140,,,,,
sc5_orig,False,9,-171.0,-349.5,178.5,262129,262140,,,,,
sc5_orig,False,10,-140.75,-273.25,132.5,262127,262140,,,,,
sc5_orig,False,11,-122.1875,-221.25,99.0625,262129,262139,,,,,
sc5_orig,False,12,-158.25,-260.0,101.75,262128,262138,,,,,
sc5_orig,False,13,-157.375,-257.0,99.625,262128,262138,,,,,
sc5_orig,False,14,-157.875,-251.125,93.25,262129,262137,,,,,
sc5_orig,False,15,-135.625,-182.875,47.25,262130,262137,,,,,
sc5_orig,False,16,-127.9375,-160.75,32.8125,262130,262137,,,,,
sc5_orig,False,17,-114.125,-115.8125,1.6875,262133,262134,,,,,
sc5_orig,False,18,-112.375,-115.1875,2.8125,262133,262134,,,,,
sc5_orig,False,19,-109.3125,-115.375,6.0625,262133,262136,,,,,
sc5_orig,False,20,-96.5625,-98.1875,1.625,262133,262134,,,,,
sc5_orig,False,21,-93.375,-97.3125,3.9375,262131,262134,,,,,
sc5_orig,False,22,-95.4375,-98.0625,2.625,262133,262135,,,,,
sc5_orig,False,23,-93.0625,-99.375,6.3125,262134,262135,,,,,
sc5_orig,False,24,-95.5625,-109.8125,14.25,262133,262137,,,,,
sc5_orig,False,25,-93.0,-113.625,20.625,262133,262136,,,,,
sc5_orig,False,26,-88.5625,-107.9375,19.375,262134,262138,,,,,
sc5_orig,False,27,-68.6875,-82.0,13.3125,262133,262137,,,,,
sc5_orig,False,28,-83.1875,-95.5,12.3125,262135,262139,,,,,
sc5_orig,False,29,-53.09375,-38.40625,-14.6875,261996,256855,,,,,
sc5_orig,False,30,-45.375,-25.828125,-19.546875,260296,167340,,,,,
sc5_orig,False,31,-30.953125,4.80078125,-35.75390625,208073,576,,,,,
sc5_orig,False,32,-22.953125,22.859375,-45.8125,106075,43,,,,,
sc5_orig,False,33,-16.0,23.25,-39.25,36762,47,,,,,
